0,ETH,249.5,0.05951464
1,FTM,57,21.5
2,FTM,50,16.65
3,TWT,43,43.3
4,LUNA,81.5,1
5,LUNA,145,2.17
6,LUNA,67.36,1
7,FTM,28.9,17.3
8,SCRT,100,19.28
9,TWT,100,138.64
10,LUNA,424,4.52
11,ATOM,219,7.28
